Scale	N	Estimated Area	Relative Error
1.000000	100	0.450000	95.000000
1.000000	600	0.795000	91.166667
1.000000	1100	0.687273	92.363636
1.000000	1600	0.607500	93.250000
1.000000	2100	0.702857	92.190476
1.000000	2600	0.709615	92.115385
1.000000	3100	0.670645	92.548387
1.000000	3600	0.702500	92.194444
1.000000	4100	0.794634	91.170732
1.000000	4600	0.655435	92.717391
1.000000	5100	0.765882	91.490196
1.000000	5600	0.694286	92.285714
1.000000	6100	0.706721	92.147541
1.000000	6600	0.718636	92.015152
1.000000	7100	0.681972	92.422535
1.000000	7600	0.692763	92.302632
1.000000	8100	0.704444	92.172840
1.000000	8600	0.774419	91.395349
1.000000	9100	0.731868	91.868132
1.000000	9600	0.723750	91.958333
1.000000	10100	0.711089	92.099010
1.000000	10600	0.698774	92.235849
1.000000	11100	0.737027	91.810811
1.000000	11600	0.712241	92.086207
1.000000	12100	0.712562	92.082645
1.000000	12600	0.680714	92.436508
1.000000	13100	0.720687	91.992366
1.000000	13600	0.731250	91.875000
1.000000	14100	0.728298	91.907801
1.000000	14600	0.695959	92.267123
1.000000	15100	0.694967	92.278146
1.000000	15600	0.683654	92.403846
1.000000	16100	0.708261	92.130435
1.000000	16600	0.717289	92.030120
1.000000	17100	0.713684	92.070175
1.000000	17600	0.720511	91.994318
1.000000	18100	0.730442	91.883978
1.000000	18600	0.697258	92.252688
1.000000	19100	0.694555	92.282723
1.000000	19600	0.725510	91.938776
1.000000	20100	0.697612	92.248756
1.000000	20600	0.727864	91.912621
1.000000	21100	0.752844	91.635071
1.000000	21600	0.692917	92.300926
1.000000	22100	0.708597	92.126697
1.000000	22600	0.703673	92.181416
1.000000	23100	0.712597	92.082251
1.000000	23600	0.693305	92.296610
1.000000	24100	0.686390	92.373444
1.000000	24600	0.735366	91.829268
1.000000	25100	0.718207	92.019920
1.000000	25600	0.723867	91.957031
1.000000	26100	0.709655	92.114943
1.000000	26600	0.736241	91.819549
1.000000	27100	0.698081	92.243542
1.000000	27600	0.708261	92.130435
1.000000	28100	0.721281	91.985765
1.000000	28600	0.729126	91.898601
1.000000	29100	0.720309	91.996564
1.000000	29600	0.732162	91.864865
1.000000	30100	0.708339	92.129568
1.000000	30600	0.726765	91.924837
1.000000	31100	0.731576	91.871383
1.000000	31600	0.712595	92.082278
1.000000	32100	0.710467	92.105919
1.000000	32600	0.707853	92.134969
1.000000	33100	0.721360	91.984894
1.000000	33600	0.718661	92.014881
1.000000	34100	0.715513	92.049853
1.000000	34600	0.718179	92.020231
1.000000	35100	0.728718	91.903134
1.000000	35600	0.730112	91.887640
1.000000	36100	0.710277	92.108033
1.000000	36600	0.720492	91.994536
1.000000	37100	0.726792	91.924528
1.000000	37600	0.728617	91.904255
1.000000	38100	0.730866	91.879265
1.000000	38600	0.696451	92.261658
1.000000	39100	0.690767	92.324808
1.000000	39600	0.719773	92.002525
1.000000	40100	0.728978	91.900249
1.000000	40600	0.719778	92.002463
1.000000	41100	0.712555	92.082725
1.000000	41600	0.734928	91.834135
1.000000	42100	0.708242	92.130641
1.000000	42600	0.699296	92.230047
1.000000	43100	0.689930	92.334107
1.000000	43600	0.694404	92.284404
1.000000	44100	0.703878	92.179138
1.000000	44600	0.728677	91.903587
1.000000	45100	0.714412	92.062084
1.000000	45600	0.703816	92.179825
1.000000	46100	0.718438	92.017354
1.000000	46600	0.725408	91.939914
1.000000	47100	0.701274	92.208068
1.000000	47600	0.710168	92.109244
1.000000	48100	0.705593	92.160083
1.000000	48600	0.709259	92.119342
